GO.ID	Term	n
GO:0044774	mitotic DNA integrity checkpoint	2
GO:0044784	metaphase/anaphase transition of cell cycle	22
GO:0044786	cell cycle DNA replication	22
GO:0044839	cell cycle G2/M phase transition	23
GO:0045088	regulation of innate immune response	17
GO:0045786	negative regulation of cell cycle	17
GO:0045787	positive regulation of cell cycle	1
GO:0045815	positive regulation of gene expression, epigenetic	9
GO:0045839	negative regulation of mitotic nuclear division	3
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	2
GO:0045930	negative regulation of mitotic cell cycle	19
GO:0045931	positive regulation of mitotic cell cycle	1
GO:0046605	regulation of centrosome cycle	3
GO:0046782	regulation of viral transcription	21
GO:0046794	transport of virus	23
GO:0048193	Golgi vesicle transport	5
GO:0048524	positive regulation of viral process	21
GO:0050000	chromosome localization	1
GO:0050792	regulation of viral process	1
GO:0051031	tRNA transport	14
GO:0051052	regulation of DNA metabolic process	21
GO:0051054	positive regulation of DNA metabolic process	4
GO:0051081	nuclear envelope disassembly	16
GO:0051171	regulation of nitrogen compound metabolic process	14
GO:0051234	establishment of localization	11
GO:0051246	regulation of protein metabolic process	1
GO:0051248	negative regulation of protein metabolic process	19
GO:0051297	centrosome organization	20
GO:0051303	establishment of chromosome localization	1
GO:0051304	chromosome separation	23
GO:0051306	mitotic sister chromatid separation	23
GO:0051310	metaphase plate congression	3
GO:0051321	meiotic cell cycle	3
GO:0051338	regulation of transferase activity	20
GO:0051603	proteolysis involved in cellular protein catabolic process	23
GO:0051656	establishment of organelle localization	1
GO:0051783	regulation of nuclear division	23
GO:0051784	negative regulation of nuclear division	1
GO:0051983	regulation of chromosome segregation	23
GO:0051985	negative regulation of chromosome segregation	3
GO:0060070	canonical Wnt signaling pathway	11
GO:0060249	anatomical structure homeostasis	10
GO:0060255	regulation of macromolecule metabolic process	2
GO:0060828	regulation of canonical Wnt signaling pathway	19
GO:0061641	CENP-A containing chromatin organization	1
GO:0065004	protein-DNA complex assembly	18
GO:0070125	mitochondrial translational elongation	3
GO:0070126	mitochondrial translational termination	3
GO:0070507	regulation of microtubule cytoskeleton organization	2
GO:0071103	DNA conformation change	23
GO:0071174	mitotic spindle checkpoint	2
GO:0071345	cellular response to cytokine stimulus	1
GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus	17
GO:0071478	cellular response to radiation	1
GO:0071774	response to fibroblast growth factor	10
GO:0071806	protein transmembrane transport	2
GO:0071822	protein complex subunit organization	2
GO:0071824	protein-DNA complex subunit organization	18
GO:0072331	signal transduction by p53 class mediator	8
GO:0090068	positive regulation of cell cycle process	2
GO:0090307	mitotic spindle assembly	21
GO:0090329	regulation of DNA-dependent DNA replication	11
GO:0090501	RNA phosphodiester bond hydrolysis	23
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	22
GO:0198738	cell-cell signaling by wnt	1
GO:1900034	regulation of cellular response to heat	5
GO:1900182	positive regulation of protein localization to nucleus	2
GO:1901796	regulation of signal transduction by p53 class mediator	15
GO:1901988	negative regulation of cell cycle phase transition	12
GO:1901989	positive regulation of cell cycle phase transition	3
GO:1901991	negative regulation of mitotic cell cycle phase transition	8
GO:1901992	positive regulation of mitotic cell cycle phase transition	4
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	20
GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	2
GO:1902581	multi-organism cellular localization	23
GO:1902583	multi-organism intracellular transport	23
GO:1902589	single-organism organelle organization	3
GO:1902593	single-organism nuclear import	10
GO:1902749	regulation of cell cycle G2/M phase transition	1
GO:1902850	microtubule cytoskeleton organization involved in mitosis	21
GO:1903046	meiotic cell cycle process	8
GO:1903313	positive regulation of mRNA metabolic process	4
GO:1903829	positive regulation of cellular protein localization	3
GO:1903900	regulation of viral life cycle	16
GO:1904356	regulation of telomere maintenance via telomere lengthening	12
GO:2000278	regulation of DNA biosynthetic process	13
GO:2000573	positive regulation of DNA biosynthetic process	14
GO:2000816	negative regulation of mitotic sister chromatid separation	2
GO:2001251	negative regulation of chromosome organization	6
GO:2001252	positive regulation of chromosome organization	6
