GO.ID	Term	Annotated	Significant	Expected	classicFisher	commun
GO:0019439	aromatic compound catabolic process	303	77	22.09	2.1e-23	1
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	70	36	5.1	4.8e-23	1
GO:0051276	chromosome organization	513	104	37.4	5.4e-23	1
GO:0006353	DNA-templated transcription, termination	98	42	7.14	9.8e-23	1
GO:0051444	negative regulation of ubiquitin-protein transferase activity	76	37	5.54	1.4e-22	1
GO:2000060	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	81	38	5.91	2.1e-22	1
GO:1901361	organic cyclic compound catabolic process	314	77	22.89	2.3e-22	1
GO:0051443	positive regulation of ubiquitin-protein transferase activity	91	39	6.63	3.4e-21	1
GO:0009057	macromolecule catabolic process	844	138	61.53	3.9e-21	1
GO:2000058	regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	88	38	6.42	8.1e-21	1
GO:0051726	regulation of cell cycle	726	123	52.93	4.4e-20	1
GO:0007346	regulation of mitotic cell cycle	388	83	28.29	6.1e-20	1
GO:0051438	regulation of ubiquitin-protein transferase activity	103	40	7.51	8.2e-20	1
GO:0006412	translation	558	103	40.68	1.4e-19	1
GO:0006259	DNA metabolic process	729	122	53.15	1.8e-19	1
GO:0010564	regulation of cell cycle process	461	91	33.61	2.6e-19	1
GO:0071704	organic substance metabolic process	6330	560	461.48	3.2e-19	1
GO:0043043	peptide biosynthetic process	573	103	41.77	1.1e-18	1
GO:0016073	snRNA metabolic process	80	34	5.83	1.7e-18	1
GO:0006612	protein targeting to membrane	151	47	11.01	1.8e-18	1
GO:0072594	establishment of protein localization to organelle	508	94	37.04	6.0e-18	1
GO:1901990	regulation of mitotic cell cycle phase transition	249	61	18.15	7.6e-18	1
GO:0034622	cellular macromolecular complex assembly	725	118	52.86	7.9e-18	1
GO:0046907	intracellular transport	1118	158	81.51	8.9e-18	1
GO:0071840	cellular component organization or biogenesis	3986	397	290.6	8.9e-18	1
GO:0007067	mitotic nuclear division	363	76	26.46	9.7e-18	1
GO:0008152	metabolic process	6499	566	473.8	1.2e-17	1
GO:1901987	regulation of cell cycle phase transition	266	63	19.39	1.3e-17	1
GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	134	43	9.77	1.5e-17	1
GO:0006283	transcription-coupled nucleotide-excision repair	73	31	5.32	5.9e-17	1
GO:0043604	amide biosynthetic process	612	103	44.62	1.3e-16	1
GO:1903364	positive regulation of cellular protein catabolic process	142	43	10.35	1.7e-16	1
GO:0010608	posttranscriptional regulation of gene expression	381	76	27.78	1.7e-16	1
GO:0000819	sister chromatid segregation	194	51	14.14	1.9e-16	1
GO:0033365	protein localization to organelle	686	110	50.01	3.9e-16	1
GO:0006605	protein targeting	509	90	37.11	6.5e-16	1
GO:0031398	positive regulation of protein ubiquitination	141	42	10.28	7.5e-16	1
GO:0031397	negative regulation of protein ubiquitination	117	38	8.53	7.7e-16	1
GO:0006521	regulation of cellular amino acid metabolic process	47	24	3.43	1.1e-15	1
GO:0006281	DNA repair	403	77	29.38	1.3e-15	1
GO:0006518	peptide metabolic process	651	105	47.46	1.4e-15	1
GO:0034645	cellular macromolecule biosynthetic process	3361	342	245.03	1.7e-15	1
GO:0009301	snRNA transcription	66	28	4.81	2.0e-15	1
GO:0042795	snRNA transcription from RNA polymerase II promoter	66	28	4.81	2.0e-15	1
GO:0009059	macromolecule biosynthetic process	3447	348	251.3	2.4e-15	1
GO:0006403	RNA localization	179	47	13.05	3.1e-15	1
GO:1903321	negative regulation of protein modification by small protein conjugation or removal	123	38	8.97	4.9e-15	1
GO:0031123	RNA 3'-end processing	100	34	7.29	5.6e-15	1
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	50	24	3.65	6.8e-15	1
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	156	43	11.37	7.5e-15	1
GO:0000280	nuclear division	436	79	31.79	1.2e-14	1
GO:0006369	termination of RNA polymerase II transcription	61	26	4.45	1.8e-14	1
GO:0006886	intracellular protein transport	718	109	52.35	2.7e-14	1
GO:0006260	DNA replication	247	55	18.01	2.8e-14	1
GO:0006520	cellular amino acid metabolic process	203	49	14.8	2.9e-14	1
GO:0065003	macromolecular complex assembly	1200	156	87.49	3.5e-14	1
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	53	24	3.86	3.5e-14	1
GO:0048285	organelle fission	462	81	33.68	3.6e-14	1
GO:0071166	ribonucleoprotein complex localization	118	36	8.6	4.1e-14	1
GO:0033238	regulation of cellular amine metabolic process	54	24	3.94	5.9e-14	1
GO:0098813	nuclear chromosome segregation	229	52	16.7	6.4e-14	1
GO:0006974	cellular response to DNA damage stimulus	606	96	44.18	8.6e-14	1
GO:0007059	chromosome segregation	269	57	19.61	9.1e-14	1
GO:0006289	nucleotide-excision repair	103	33	7.51	1.0e-13	1
GO:0006354	DNA-templated transcription, elongation	115	35	8.38	1.0e-13	1
GO:0002478	antigen processing and presentation of exogenous peptide antigen	116	35	8.46	1.3e-13	1
GO:1902582	single-organism intracellular transport	494	83	36.01	2.0e-13	1
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	171	43	12.47	2.5e-13	1
GO:0043603	cellular amide metabolic process	732	108	53.37	2.5e-13	1
GO:0019884	antigen processing and presentation of exogenous antigen	120	35	8.75	4.1e-13	1
GO:0098781	ncRNA transcription	96	31	7	4.5e-13	1
GO:0006370	7-methylguanosine mRNA capping	32	18	2.33	4.9e-13	1
GO:0009452	7-methylguanosine RNA capping	36	19	2.62	5.1e-13	1
GO:0036260	RNA capping	36	19	2.62	5.1e-13	1
GO:0071426	ribonucleoprotein complex export from nucleus	115	34	8.38	5.8e-13	1
GO:0045732	positive regulation of protein catabolic process	183	44	13.34	7.2e-13	1
GO:0038061	NIK/NF-kappaB signaling	86	29	6.27	7.4e-13	1
GO:0051649	establishment of localization in cell	1353	166	98.64	7.5e-13	1
GO:0006261	DNA-dependent DNA replication	123	35	8.97	9.2e-13	1
GO:0048002	antigen processing and presentation of peptide antigen	123	35	8.97	9.2e-13	1
GO:0000387	spliceosomal snRNP assembly	37	19	2.7	9.8e-13	1
GO:1903362	regulation of cellular protein catabolic process	185	44	13.49	1.1e-12	1
GO:0044248	cellular catabolic process	1030	135	75.09	1.7e-12	1
GO:0042787	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	173	42	12.61	1.7e-12	1
GO:0001736	establishment of planar polarity	83	28	6.05	1.8e-12	1
GO:0007164	establishment of tissue polarity	83	28	6.05	1.8e-12	1
GO:0000245	spliceosomal complex assembly	47	21	3.43	2.0e-12	1
GO:0042273	ribosomal large subunit biogenesis	62	24	4.52	2.3e-12	1
GO:0051301	cell division	428	73	31.2	3.0e-12	1
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	68	25	4.96	3.2e-12	1
GO:0031124	mRNA 3'-end processing	79	27	5.76	3.2e-12	1
GO:0044271	cellular nitrogen compound biosynthetic process	3308	325	241.17	4.1e-12	1
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	80	27	5.83	4.5e-12	1
GO:0090175	regulation of establishment of planar polarity	80	27	5.83	4.5e-12	1
GO:0043488	regulation of mRNA stability	124	34	9.04	6.2e-12	1
GO:0051641	cellular localization	1676	191	122.19	8.8e-12	1
GO:0031396	regulation of protein ubiquitination	197	44	14.36	1.1e-11	1
GO:0044249	cellular biosynthetic process	3974	373	289.72	1.5e-11	1
GO:0050657	nucleic acid transport	148	37	10.79	1.5e-11	1
GO:0050658	RNA transport	148	37	10.79	1.5e-11	1
GO:0051028	mRNA transport	128	34	9.33	1.6e-11	1
GO:0001738	morphogenesis of a polarized epithelium	90	28	6.56	1.7e-11	1
GO:0051168	nuclear export	163	39	11.88	1.8e-11	1
GO:0090150	establishment of protein localization to membrane	265	52	19.32	2.6e-11	1
GO:0031331	positive regulation of cellular catabolic process	202	44	14.73	2.6e-11	1
GO:0051236	establishment of RNA localization	151	37	11.01	2.8e-11	1
GO:1901575	organic substance catabolic process	1190	146	86.76	3.0e-11	1
GO:0006368	transcription elongation from RNA polymerase II promoter	86	27	6.27	3.1e-11	1
GO:0043487	regulation of RNA stability	131	34	9.55	3.3e-11	1
GO:0044106	cellular amine metabolic process	75	25	5.47	3.9e-11	1
GO:0042176	regulation of protein catabolic process	260	51	18.96	4.1e-11	1
GO:0006913	nucleocytoplasmic transport	345	61	25.15	4.6e-11	1
GO:0006405	RNA export from nucleus	113	31	8.24	5.3e-11	1
GO:0006406	mRNA export from nucleus	101	29	7.36	6.6e-11	1
GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	101	29	7.36	6.6e-11	1
GO:1903320	regulation of protein modification by small protein conjugation or removal	218	45	15.89	1.0e-10	1
GO:0006418	tRNA aminoacylation for protein translation	46	19	3.35	1.2e-10	1
GO:0051169	nuclear transport	353	61	25.74	1.2e-10	1
GO:0009058	biosynthetic process	4070	376	296.72	1.3e-10	1
GO:1901576	organic substance biosynthetic process	4024	372	293.37	1.8e-10	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	86	26	6.27	1.9e-10	1
GO:0045862	positive regulation of proteolysis	263	50	19.17	2.1e-10	1
GO:0002220	innate immune response activating cell surface receptor signaling pathway	87	26	6.34	2.5e-10	1
GO:0043933	macromolecular complex subunit organization	1752	192	127.73	2.7e-10	1
GO:0016043	cellular component organization	3860	359	281.41	2.7e-10	1
GO:0009056	catabolic process	1226	146	89.38	2.7e-10	1
GO:0019882	antigen processing and presentation	148	35	10.79	2.8e-10	1
GO:0009308	amine metabolic process	82	25	5.98	3.4e-10	1
GO:0007062	sister chromatid cohesion	115	30	8.38	4.2e-10	1
GO:0043038	amino acid activation	49	19	3.57	4.5e-10	1
GO:0043039	tRNA aminoacylation	49	19	3.57	4.5e-10	1
GO:0090263	positive regulation of canonical Wnt signaling pathway	96	27	7	5.1e-10	1
GO:0033036	macromolecule localization	1813	196	132.18	5.3e-10	1
GO:0000070	mitotic sister chromatid segregation	123	31	8.97	5.5e-10	1
GO:0070727	cellular macromolecule localization	1106	134	80.63	5.8e-10	1
GO:0034613	cellular protein localization	1096	133	79.9	6.2e-10	1
GO:1901566	organonitrogen compound biosynthetic process	958	120	69.84	7.4e-10	1
GO:0034654	nucleobase-containing compound biosynthetic process	2874	281	209.53	1.0e-09	1
GO:0015931	nucleobase-containing compound transport	170	37	12.39	1.1e-09	1
GO:0006399	tRNA metabolic process	155	35	11.3	1.1e-09	1
GO:1901362	organic cyclic compound biosynthetic process	2979	289	217.18	1.1e-09	1
GO:0018130	heterocycle biosynthetic process	2912	283	212.3	1.7e-09	1
GO:0009896	positive regulation of catabolic process	239	45	17.42	2.4e-09	1
GO:0050434	positive regulation of viral transcription	38	16	2.77	2.6e-09	1
GO:0051704	multi-organism process	1356	154	98.86	2.6e-09	1
GO:0019438	aromatic compound biosynthetic process	2918	282	212.73	3.4e-09	1
GO:0006360	transcription from RNA polymerase I promoter	55	19	4.01	4.4e-09	1
GO:0030177	positive regulation of Wnt signaling pathway	112	28	8.17	4.6e-09	1
GO:0051348	negative regulation of transferase activity	244	45	17.79	4.7e-09	1
GO:0000722	telomere maintenance via recombination	30	14	2.19	5.1e-09	1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	281	49	20.49	6.6e-09	1
GO:0035567	non-canonical Wnt signaling pathway	107	27	7.8	7.0e-09	1
GO:0050684	regulation of mRNA processing	81	23	5.91	8.1e-09	1
GO:0038095	Fc-epsilon receptor signaling pathway	102	26	7.44	1.1e-08	1
GO:0070647	protein modification by small protein conjugation or removal	712	93	51.91	1.1e-08	1
GO:0006310	DNA recombination	194	38	14.14	1.4e-08	1
GO:0032446	protein modification by small protein conjugation	634	85	46.22	1.5e-08	1
GO:0090305	nucleic acid phosphodiester bond hydrolysis	211	40	15.38	1.5e-08	1
GO:0033209	tumor necrosis factor-mediated signaling pathway	111	27	8.09	1.6e-08	1
GO:0000075	cell cycle checkpoint	187	37	13.63	1.7e-08	1
GO:1901564	organonitrogen compound metabolic process	1439	158	104.91	1.7e-08	1
GO:0090501	RNA phosphodiester bond hydrolysis	112	27	8.17	2.0e-08	1
GO:0015031	protein transport	1202	137	87.63	2.1e-08	1
GO:0051225	spindle assembly	72	21	5.25	2.1e-08	1
GO:0010498	proteasomal protein catabolic process	300	50	21.87	2.2e-08	1
GO:0019985	translesion synthesis	33	14	2.41	2.3e-08	1
GO:1905330	regulation of morphogenesis of an epithelium	120	28	8.75	2.4e-08	1
GO:0022607	cellular component assembly	1717	181	125.18	2.5e-08	1
GO:0000209	protein polyubiquitination	190	37	13.85	2.6e-08	1
GO:0010565	regulation of cellular ketone metabolic process	107	26	7.8	3.1e-08	1
GO:0007051	spindle organization	87	23	6.34	3.6e-08	1
GO:0050852	T cell receptor signaling pathway	115	27	8.38	3.7e-08	1
GO:0006361	transcription initiation from RNA polymerase I promoter	34	14	2.48	3.7e-08	1
GO:0000086	G2/M transition of mitotic cell cycle	147	31	10.72	5.3e-08	1
GO:0006312	mitotic recombination	40	15	2.92	5.4e-08	1
GO:0009987	cellular process	8548	655	623.19	5.5e-08	1
GO:0031329	regulation of cellular catabolic process	264	45	19.25	5.7e-08	1
GO:0045184	establishment of protein localization	1309	144	95.43	8.3e-08	1
GO:0006352	DNA-templated transcription, initiation	199	37	14.51	9.1e-08	1
GO:0072657	protein localization to membrane	342	53	24.93	1.0e-07	1
GO:0006363	termination of RNA polymerase I transcription	32	13	2.33	1.4e-07	1
GO:0010948	negative regulation of cell cycle process	194	36	14.14	1.4e-07	1
GO:1903902	positive regulation of viral life cycle	73	20	5.32	1.5e-07	1
GO:0044267	cellular protein metabolic process	3074	286	224.11	1.5e-07	1
GO:0009894	regulation of catabolic process	356	54	25.95	1.5e-07	1
GO:1902580	single-organism cellular localization	732	91	53.37	1.7e-07	1
GO:0044839	cell cycle G2/M phase transition	155	31	11.3	1.9e-07	1
GO:0032774	RNA biosynthetic process	2594	248	189.11	1.9e-07	1
GO:0033554	cellular response to stress	1223	135	89.16	1.9e-07	1
GO:0050851	antigen receptor-mediated signaling pathway	132	28	9.62	2.1e-07	1
GO:0044843	cell cycle G1/S phase transition	197	36	14.36	2.1e-07	1
GO:0006362	transcription elongation from RNA polymerase I promoter	33	13	2.41	2.1e-07	1
GO:0000082	G1/S transition of mitotic cell cycle	189	35	13.78	2.3e-07	1
GO:0043632	modification-dependent macromolecule catabolic process	421	60	30.69	2.9e-07	1
GO:0042255	ribosome assembly	51	16	3.72	3.4e-07	1
GO:0007088	regulation of mitotic nuclear division	120	26	8.75	3.6e-07	1
GO:1903311	regulation of mRNA metabolic process	107	24	7.8	5.2e-07	1
GO:0044802	single-organism membrane organization	591	76	43.09	5.3e-07	1
GO:0008104	protein localization	1588	164	115.77	5.9e-07	1
GO:0006446	regulation of translational initiation	66	18	4.81	6.7e-07	1
GO:0006270	DNA replication initiation	36	13	2.62	7.0e-07	1
GO:0090090	negative regulation of canonical Wnt signaling pathway	124	26	9.04	7.1e-07	1
GO:0051783	regulation of nuclear division	132	27	9.62	7.3e-07	1
GO:0071702	organic substance transport	1631	167	118.91	7.9e-07	1
GO:0000723	telomere maintenance	117	25	8.53	8.0e-07	1
GO:0006996	organelle organization	2233	216	162.8	8.4e-07	1
GO:0031400	negative regulation of protein modification process	395	56	28.8	8.8e-07	1
GO:0000731	DNA synthesis involved in DNA repair	61	17	4.45	9.7e-07	1
GO:0045786	negative regulation of cell cycle	348	51	25.37	1.0e-06	1
GO:0006301	postreplication repair	43	14	3.13	1.1e-06	1
GO:0006378	mRNA polyadenylation	32	12	2.33	1.2e-06	1
GO:0043631	RNA polyadenylation	32	12	2.33	1.2e-06	1
GO:0071356	cellular response to tumor necrosis factor	168	31	12.25	1.2e-06	1
GO:0048524	positive regulation of viral process	83	20	6.05	1.4e-06	1
GO:0046782	regulation of viral transcription	56	16	4.08	1.4e-06	1
GO:0007052	mitotic spindle organization	44	14	3.21	1.5e-06	1
GO:0090307	mitotic spindle assembly	44	14	3.21	1.5e-06	1
GO:0007093	mitotic cell cycle checkpoint	129	26	9.4	1.6e-06	1
GO:0042274	ribosomal small subunit biogenesis	63	17	4.59	1.6e-06	1
GO:0019941	modification-dependent protein catabolic process	414	57	30.18	1.8e-06	1
GO:1902850	microtubule cytoskeleton organization involved in mitosis	45	14	3.28	2.1e-06	1
GO:2000027	regulation of organ morphogenesis	164	30	11.96	2.2e-06	1
GO:0061024	membrane organization	688	83	50.16	2.2e-06	1
GO:0006511	ubiquitin-dependent protein catabolic process	409	56	29.82	2.7e-06	1
GO:0030490	maturation of SSU-rRNA	46	14	3.35	2.8e-06	1
GO:0006383	transcription from RNA polymerase III promoter	47	14	3.43	3.7e-06	1
GO:0034612	response to tumor necrosis factor	177	31	12.9	3.8e-06	1
GO:0044766	multi-organism transport	60	16	4.37	3.8e-06	1
GO:1902579	multi-organism localization	60	16	4.37	3.8e-06	1
GO:0033044	regulation of chromosome organization	127	25	9.26	3.9e-06	1
GO:0019538	protein metabolic process	3286	294	239.56	4.2e-06	1
GO:0030178	negative regulation of Wnt signaling pathway	144	27	10.5	4.3e-06	1
GO:0051983	regulation of chromosome segregation	75	18	5.47	5.0e-06	1
GO:0006417	regulation of translation	271	41	19.76	5.4e-06	1
GO:0042180	cellular ketone metabolic process	146	27	10.64	5.6e-06	1
GO:0075733	intracellular transport of virus	55	15	4.01	5.7e-06	1
GO:0045930	negative regulation of mitotic cell cycle	172	30	12.54	5.9e-06	1
GO:0006997	nucleus organization	106	22	7.73	6.0e-06	1
GO:0031047	gene silencing by RNA	130	25	9.48	6.1e-06	1
GO:0032200	telomere organization	130	25	9.48	6.1e-06	1
GO:0002758	innate immune response-activating signal transduction	164	29	11.96	6.4e-06	1
GO:0051603	proteolysis involved in cellular protein catabolic process	453	59	33.03	7.2e-06	1
GO:1902581	multi-organism cellular localization	56	15	4.08	7.3e-06	1
GO:1902583	multi-organism intracellular transport	56	15	4.08	7.3e-06	1
GO:0031570	DNA integrity checkpoint	132	25	9.62	8.0e-06	1
GO:0071897	DNA biosynthetic process	158	28	11.52	8.8e-06	1
GO:0002218	activation of innate immune response	167	29	12.18	9.2e-06	1
GO:0016925	protein sumoylation	109	22	7.95	9.7e-06	1
GO:0031023	microtubule organizing center organization	94	20	6.85	1.1e-05	1
GO:0046794	transport of virus	58	15	4.23	1.2e-05	1
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	45	13	3.28	1.2e-05	1
GO:0010965	regulation of mitotic sister chromatid separation	45	13	3.28	1.2e-05	1
GO:0044784	metaphase/anaphase transition of cell cycle	45	13	3.28	1.2e-05	1
GO:0000460	maturation of 5.8S rRNA	33	11	2.41	1.2e-05	1
GO:0044786	cell cycle DNA replication	33	11	2.41	1.2e-05	1
GO:0044257	cellular protein catabolic process	473	60	34.48	1.4e-05	1
GO:0051306	mitotic sister chromatid separation	46	13	3.35	1.6e-05	1
GO:0045089	positive regulation of innate immune response	190	31	13.85	1.7e-05	1
GO:0048024	regulation of mRNA splicing, via spliceosome	53	14	3.86	1.7e-05	1
GO:0033045	regulation of sister chromatid segregation	60	15	4.37	1.8e-05	1
GO:0043484	regulation of RNA splicing	82	18	5.98	1.9e-05	1
GO:0038093	Fc receptor signaling pathway	147	26	10.72	1.9e-05	1
GO:0051347	positive regulation of transferase activity	426	55	31.06	1.9e-05	1
GO:0034248	regulation of cellular amide metabolic process	287	41	20.92	2.2e-05	1
GO:0043902	positive regulation of multi-organism process	107	21	7.8	2.4e-05	1
GO:0030163	protein catabolic process	547	66	39.88	2.6e-05	1
GO:0051304	chromosome separation	62	15	4.52	2.8e-05	1
GO:0006367	transcription initiation from RNA polymerase II promoter	152	26	11.08	3.5e-05	1
GO:0030071	regulation of mitotic metaphase/anaphase transition	43	12	3.13	3.8e-05	1
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	43	12	3.13	3.8e-05	1
GO:0051170	nuclear import	200	31	14.58	4.7e-05	1
GO:0051297	centrosome organization	88	18	6.42	5.1e-05	1
GO:0032269	negative regulation of cellular protein metabolic process	636	73	46.37	5.2e-05	1
GO:0000724	double-strand break repair via homologous recombination	73	16	5.32	5.5e-05	1
GO:0060828	regulation of canonical Wnt signaling pathway	175	28	12.76	6.1e-05	1
GO:0001824	blastocyst development	52	13	3.79	6.5e-05	1
GO:0000725	recombinational repair	74	16	5.39	6.6e-05	1
GO:0030162	regulation of proteolysis	427	53	31.13	8.0e-05	1
GO:0033047	regulation of mitotic sister chromatid segregation	53	13	3.86	8.1e-05	1
GO:0016567	protein ubiquitination	535	63	39	8.3e-05	1
GO:0006998	nuclear envelope organization	68	15	4.96	8.7e-05	1
GO:0051052	regulation of DNA metabolic process	265	37	19.32	9.1e-05	1
GO:0010501	RNA secondary structure unwinding	40	11	2.92	9.3e-05	1
GO:0002181	cytoplasmic translation	47	12	3.43	9.9e-05	1
GO:0051248	negative regulation of protein metabolic process	672	75	48.99	0.00010	1
GO:0000226	microtubule cytoskeleton organization	278	38	20.27	0.00012	1
GO:0043086	negative regulation of catalytic activity	487	58	35.5	0.00012	1
GO:0032479	regulation of type I interferon production	78	16	5.69	0.00013	1
GO:0032606	type I interferon production	78	16	5.69	0.00013	1
GO:1901988	negative regulation of cell cycle phase transition	137	23	9.99	0.00013	1
GO:0065004	protein-DNA complex assembly	183	28	13.34	0.00014	1
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	35	10	2.55	0.00014	1
GO:0042769	DNA damage response, detection of DNA damage	35	10	2.55	0.00014	1
GO:0031100	animal organ regeneration	49	12	3.57	0.00015	1
GO:0032481	positive regulation of type I interferon production	49	12	3.57	0.00015	1
GO:0051171	regulation of nitrogen compound metabolic process	2876	252	209.67	0.00018	1
GO:0018205	peptidyl-lysine modification	316	41	23.04	0.00020	1
GO:0071824	protein-DNA complex subunit organization	207	30	15.09	0.00021	1
GO:0090329	regulation of DNA-dependent DNA replication	37	10	2.7	0.00023	1
GO:0006275	regulation of DNA replication	90	17	6.56	0.00023	1
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	66	14	4.81	0.00023	1
GO:0034502	protein localization to chromosome	59	13	4.3	0.00026	1
GO:0006409	tRNA export from nucleus	31	9	2.26	0.00026	1
GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus	31	9	2.26	0.00026	1
GO:1901991	negative regulation of mitotic cell cycle phase transition	127	21	9.26	0.00031	1
GO:0032508	DNA duplex unwinding	68	14	4.96	0.00032	1
GO:0030111	regulation of Wnt signaling pathway	223	31	16.26	0.00036	1
GO:0071103	DNA conformation change	223	31	16.26	0.00036	1
GO:0000380	alternative mRNA splicing, via spliceosome	39	10	2.84	0.00036	1
GO:0045088	regulation of innate immune response	224	31	16.33	0.00039	1
GO:0002429	immune response-activating cell surface receptor signaling pathway	195	28	14.22	0.00040	1
