#SOURCE	#TARGET	#LINK
Skin Cancer	Rhabdoid	2
Breast Cancer	Esophageal Cancer	2
Breast Cancer	Eye Cancer	2
Pancreatic Cancer	Lymphoma	2
Pancreatic Cancer	Cervical Cancer	2
Pancreatic Cancer	Eye Cancer	2
Brain Cancer	Bone Cancer	2
Brain Cancer	Kidney Cancer	2
Sarcoma	Rhabdoid	2
Liver Cancer	Esophageal Cancer	2
Leukemia	Breast Cancer	1
Leukemia	Myeloma	1
Leukemia	Liver Cancer	1
Leukemia	Esophageal Cancer	1
Colon/Colorectal Cancer	Breast Cancer	1
Colon/Colorectal Cancer	Lymphoma	1
Colon/Colorectal Cancer	Kidney Cancer	1
Colon/Colorectal Cancer	Endometrial/Uterine Cancer	1
Colon/Colorectal Cancer	Esophageal Cancer	1
Colon/Colorectal Cancer	Eye Cancer	1
Bladder Cancer	Brain Cancer	1
Bladder Cancer	Kidney Cancer	1
Bladder Cancer	Head and Neck Cancer	1
Bladder Cancer	Eye Cancer	1
Lung Cancer	Sarcoma	1
Lung Cancer	Bone Cancer	1
Lung Cancer	Lymphoma	1
Lung Cancer	Kidney Cancer	1
Ovarian Cancer	Lymphoma	1
Ovarian Cancer	Fibroblast	1
Skin Cancer	Breast Cancer	1
Skin Cancer	Sarcoma	1
Skin Cancer	Bone Cancer	1
Skin Cancer	Lymphoma	1
Skin Cancer	Neuroblastoma	1
Skin Cancer	Liver Cancer	1
Breast Cancer	Lymphoma	1
Breast Cancer	Neuroblastoma	1
Breast Cancer	Rhabdoid	1
Breast Cancer	Kidney Cancer	1
Breast Cancer	Endometrial/Uterine Cancer	1
Breast Cancer	Cervical Cancer	1
Pancreatic Cancer	Bile Duct Cancer	1
Pancreatic Cancer	NA	1
Brain Cancer	Sarcoma	1
Brain Cancer	Neuroblastoma	1
Brain Cancer	Bile Duct Cancer	1
Brain Cancer	Cervical Cancer	1
Sarcoma	Bone Cancer	1
Sarcoma	Kidney Cancer	1
Sarcoma	Head and Neck Cancer	1
Sarcoma	Esophageal Cancer	1
Bone Cancer	Kidney Cancer	1
Bone Cancer	Cervical Cancer	1
Gastric Cancer	Gastric Cancer	1
Gastric Cancer	Liver Cancer	1
Gastric Cancer	Endometrial/Uterine Cancer	1
Lymphoma	Neuroblastoma	1
Lymphoma	Rhabdoid	1
Lymphoma	Head and Neck Cancer	1
Lymphoma	Esophageal Cancer	1
Endometrial/Uterine Cancer	Endometrial/Uterine Cancer	1
Endometrial/Uterine Cancer	Esophageal Cancer	1
Cervical Cancer	Eye Cancer	1
