GO.ID	Term	n
GO:0022613	ribonucleoprotein complex biogenesis	24
GO:0022618	ribonucleoprotein complex assembly	24
GO:0030162	regulation of proteolysis	24
GO:0030177	positive regulation of Wnt signaling pat...	24
GO:0030178	negative regulation of Wnt signaling pat...	24
GO:0030490	maturation of SSU-rRNA	24
GO:0031047	gene silencing by RNA	24
GO:0031123	RNA 3'-end processing	24
GO:0031124	mRNA 3'-end processing	24
GO:0031145	anaphase-promoting complex-dependent cat...	24
GO:0031329	regulation of cellular catabolic process	24
GO:0031331	positive regulation of cellular cataboli...	24
GO:0031396	regulation of protein ubiquitination	24
GO:0031397	negative regulation of protein ubiquitin...	24
GO:0031398	positive regulation of protein ubiquitin...	24
GO:0031400	negative regulation of protein modificat...	24
GO:0032200	telomere organization	24
GO:0032446	protein modification by small protein co...	24
GO:0032508	DNA duplex unwinding	24
GO:0032774	RNA biosynthetic process	24
GO:0033036	macromolecule localization	24
GO:0033044	regulation of chromosome organization	24
GO:0033209	tumor necrosis factor-mediated signaling...	24
GO:0033238	regulation of cellular amine metabolic p...	24
GO:0033365	protein localization to organelle	24
GO:0033554	cellular response to stress	24
GO:0034470	ncRNA processing	24
GO:0034612	response to tumor necrosis factor	24
GO:0034613	cellular protein localization	24
GO:0034622	cellular macromolecular complex assembly	24
GO:0034641	cellular nitrogen compound metabolic pro...	24
GO:0034645	cellular macromolecule biosynthetic proc...	24
GO:0034654	nucleobase-containing compound biosynthe...	24
GO:0034655	nucleobase-containing compound catabolic...	24
GO:0034660	ncRNA metabolic process	24
GO:0035567	non-canonical Wnt signaling pathway	24
GO:0036260	RNA capping	24
GO:0038061	NIK/NF-kappaB signaling	24
GO:0038093	Fc receptor signaling pathway	24
GO:0038095	Fc-epsilon receptor signaling pathway	24
GO:0042176	regulation of protein catabolic process	24
GO:0042180	cellular ketone metabolic process	24
GO:0042254	ribosome biogenesis	24
GO:0042255	ribosome assembly	24
GO:0042273	ribosomal large subunit biogenesis	24
GO:0042274	ribosomal small subunit biogenesis	24
GO:0042276	error-prone translesion synthesis	24
GO:0042590	antigen processing and presentation of e...	24
GO:0042769	DNA damage response, detection of DNA da...	24
GO:0042787	protein ubiquitination involved in ubiqu...	24
GO:0042795	snRNA transcription from RNA polymerase ...	24
GO:0043038	amino acid activation	24
GO:0043039	tRNA aminoacylation	24
GO:0043043	peptide biosynthetic process	24
GO:0043161	proteasome-mediated ubiquitin-dependent ...	24
GO:0043170	macromolecule metabolic process	24
GO:0043484	regulation of RNA splicing	24
GO:0043487	regulation of RNA stability	24
GO:0043488	regulation of mRNA stability	24
GO:0043603	cellular amide metabolic process	24
GO:0043604	amide biosynthetic process	24
GO:0043632	modification-dependent macromolecule cat...	24
GO:0043933	macromolecular complex subunit organizat...	24
GO:0044033	multi-organism metabolic process	24
GO:0044085	cellular component biogenesis	24
GO:0044106	cellular amine metabolic process	24
GO:0044237	cellular metabolic process	24
GO:0044238	primary metabolic process	24
GO:0044248	cellular catabolic process	24
GO:0044249	cellular biosynthetic process	24
GO:0044260	cellular macromolecule metabolic process	24
GO:0044265	cellular macromolecule catabolic process	24
GO:0044267	cellular protein metabolic process	24
GO:0044270	cellular nitrogen compound catabolic pro...	24
GO:0044271	cellular nitrogen compound biosynthetic ...	24
GO:0044403	symbiosis, encompassing mutualism throug...	24
GO:0044419	interspecies interaction between organis...	24
GO:0044764	multi-organism cellular process	24
GO:0044766	multi-organism transport	24
GO:0044770	cell cycle phase transition	24
GO:0044772	mitotic cell cycle phase transition	24
GO:0044802	single-organism membrane organization	24
GO:0044843	cell cycle G1/S phase transition	24
GO:0045047	protein targeting to ER	24
GO:0045089	positive regulation of innate immune res...	24
GO:0045184	establishment of protein localization	24
GO:0045732	positive regulation of protein catabolic...	24
GO:0045862	positive regulation of proteolysis	24
GO:0046483	heterocycle metabolic process	24
GO:0046700	heterocycle catabolic process	24
GO:0046907	intracellular transport	24
GO:0048002	antigen processing and presentation of p...	24
GO:0048024	regulation of mRNA splicing, via spliceo...	24
GO:0048285	organelle fission	24
GO:0050434	positive regulation of viral transcripti...	24
GO:0050657	nucleic acid transport	24
GO:0050658	RNA transport	24
GO:0050684	regulation of mRNA processing	24
GO:0050851	antigen receptor-mediated signaling path...	24
GO:0050852	T cell receptor signaling pathway	24
GO:0051028	mRNA transport	24
GO:0051168	nuclear export	24
GO:0051169	nuclear transport	24
GO:0051170	nuclear import	24
GO:0051225	spindle assembly	24
GO:0051236	establishment of RNA localization	24
GO:0051276	chromosome organization	24
GO:0051301	cell division	24
GO:0051347	positive regulation of transferase activ...	24
GO:0051348	negative regulation of transferase activ...	24
GO:0051436	negative regulation of ubiquitin-protein...	24
GO:0051437	positive regulation of ubiquitin-protein...	24
GO:0051438	regulation of ubiquitin-protein transfer...	24
GO:0051439	regulation of ubiquitin-protein ligase a...	24
GO:0051443	positive regulation of ubiquitin-protein...	24
GO:0051444	negative regulation of ubiquitin-protein...	24
GO:0051641	cellular localization	24
GO:0051649	establishment of localization in cell	24
GO:0051704	multi-organism process	24
GO:0051726	regulation of cell cycle	24
GO:0060071	Wnt signaling pathway, planar cell polar...	24
GO:0061024	membrane organization	24
GO:0065003	macromolecular complex assembly	24
GO:0070647	protein modification by small protein co...	24
GO:0070727	cellular macromolecule localization	24
GO:0070925	organelle assembly	24
GO:0070972	protein localization to endoplasmic reti...	24
GO:0070987	error-free translesion synthesis	24
GO:0071166	ribonucleoprotein complex localization	24
GO:0071356	cellular response to tumor necrosis fact...	24
GO:0071426	ribonucleoprotein complex export from nu...	24
GO:0071427	mRNA-containing ribonucleoprotein comple...	24
GO:0071702	organic substance transport	24
GO:0071704	organic substance metabolic process	24
GO:0071826	ribonucleoprotein complex subunit organi...	24
GO:0071840	cellular component organization or bioge...	24
GO:0071897	DNA biosynthetic process	24
GO:0072594	establishment of protein localization to...	24
GO:0072599	establishment of protein localization to...	24
GO:0072657	protein localization to membrane	24
GO:0075733	intracellular transport of virus	24
GO:0090090	negative regulation of canonical Wnt sig...	24
GO:0090150	establishment of protein localization to...	24
GO:0090175	regulation of establishment of planar po...	24
GO:0090263	positive regulation of canonical Wnt sig...	24
GO:0090304	nucleic acid metabolic process	24
GO:0090305	nucleic acid phosphodiester bond hydroly...	24
GO:0090670	RNA localization to Cajal body	24
GO:0090671	telomerase RNA localization to Cajal bod...	24
GO:0090672	telomerase RNA localization	24
GO:0098781	ncRNA transcription	24
GO:0098813	nuclear chromosome segregation	24
GO:1901360	organic cyclic compound metabolic proces...	24
GO:1901361	organic cyclic compound catabolic proces...	24
GO:1901362	organic cyclic compound biosynthetic pro...	24
GO:1901564	organonitrogen compound metabolic proces...	24
GO:1901566	organonitrogen compound biosynthetic pro...	24
GO:1901575	organic substance catabolic process	24
GO:1901576	organic substance biosynthetic process	24
GO:1901987	regulation of cell cycle phase transitio...	24
GO:1901990	regulation of mitotic cell cycle phase t...	24
GO:1902579	multi-organism localization	24
GO:1902580	single-organism cellular localization	24
GO:1902582	single-organism intracellular transport	24
GO:1903047	mitotic cell cycle process	24
GO:1903050	regulation of proteolysis involved in ce...	24
GO:1903052	positive regulation of proteolysis invol...	24
GO:1903311	regulation of mRNA metabolic process	24
GO:1903320	regulation of protein modification by sm...	24
GO:1903321	negative regulation of protein modificat...	24
GO:1903322	positive regulation of protein modificat...	24
GO:1903362	regulation of cellular protein catabolic...	24
GO:1903364	positive regulation of cellular protein ...	24
GO:1903902	positive regulation of viral life cycle	24
GO:1904666	regulation of ubiquitin protein ligase a...	24
GO:1904667	negative regulation of ubiquitin protein...	24
GO:1904668	positive regulation of ubiquitin protein...	24
GO:1904872	regulation of telomerase RNA localizatio...	24
GO:1904874	positive regulation of telomerase RNA lo...	24
GO:1905330	regulation of morphogenesis of an epithe...	24
GO:2000027	regulation of organ morphogenesis	24
GO:2000058	regulation of protein ubiquitination inv...	24
GO:2000060	positive regulation of protein ubiquitin...	24
