DepMap_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000076,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2,,,Leukemia,Chronic Myelogenous Leukemia (CML),Female,HSSRB
ACH-000077,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MJ,,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",Male,ATCC
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,MHH-NB-11,908135,1818,Neuroblastoma,Unknown,Male,DSMZ
ACH-000079,TE125T_FIBROBLAST,TE 125.T,,,Fibroblast,Rhabdomyosarcoma,Female,ATCC
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,906800,63,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Male,DSMZ
ACH-000081,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM-1,906870,164,Leukemia,Acute Myelogenous Leukemia (AML),Female,ATCC
ACH-000082,G292CLONEA141B1_BONE,G-292;clone A141B1;G292CLONEA141B1;G-292 clone A141B1,1290807,661,Bone Cancer,Osteosarcoma,Female,ATCC
ACH-000083,HS281T_FIBROBLAST,Hs 281.T,,,Fibroblast,Unknown,Female,ATCC
ACH-000084,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3,,,Leukemia,Acute Myelogenous Leukemia (AML),Male,DSMZ
ACH-000085,T3M4_PANCREAS,T3M-4,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,RIKEN
ACH-000086,ACCMESO1_PLEURA,ACC-MESO-1,,,Lung Cancer,Mesothelioma,,RIKEN
ACH-000088,HS172T_FIBROBLAST,,,,Fibroblast,Unknown,Male,ATCC
ACH-000089,NCIH684_LARGE_INTESTINE,NCI-H684,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,-1,KCLB
ACH-000090,PC3_PROSTATE,PC-3,905934,911,Prostate Cancer,Adenocarcinoma,Male,ATCC
ACH-000091,OV56_OVARY,OV56,1480362,686,Ovarian Cancer,"Carcinoma, serous",Female,ECACC
ACH-000092,NCIH2452_PLEURA,NCI-H2452,908462,624,Lung Cancer,Mesothelioma,Male,ATCC
ACH-000093,PANC0504_PANCREAS,Panc 05.04,,,Pancreatic Cancer,Carcinoma,Female,ATCC
ACH-000094,HPAFII_PANCREAS,HPAF-II,724869,889,Pancreatic Cancer,Carcinoma,Male,ATCC
ACH-000095,D341MED_CENTRAL_NERVOUS_SYSTEM,D341;D341MED,,,Brain Cancer,Medulloblastoma,Male,ATCC
ACH-000096,G401_SOFT_TISSUE,G-401,907299,962,Rhabdoid,Malignant Rhabdoid Tumor,Male,ATCC
ACH-000097,ZR751_BREAST,ZR-75-1,,,Breast Cancer,Breast Ductal Carcinoma,Female,ATCC
ACH-000098,GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG,906868,1174,Brain Cancer,Glioblastoma,Female,DSMZ
ACH-000099,SIMA_AUTONOMIC_GANGLIA,SIMA,753620,2076,Neuroblastoma,Unknown,Male,DSMZ
ACH-000100,RH41_SOFT_TISSUE,RH-41,1240210,2052,Sarcoma,"Rhabdomyosarcoma, alveolar",Female,DSMZ
ACH-000101,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE-37,907277,1012,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",Male,DSMZ
ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,GMS-10,906873,294,Brain Cancer,Glioblastoma,Male,DSMZ
ACH-000103,CAOV4_OVARY,Caov-4,949090,1524,Ovarian Cancer,"Adenocarcinoma, high grade serous",Female,ATCC
ACH-000782,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Female,DSMZ
ACH-000938,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908158,973,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Male,DSMZ
ACH-000287,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NU-DUL-1,1330982,95,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,DSMZ
ACH-000107,CAPAN2_PANCREAS,Capan-2,910915,703,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000108,KP3_PANCREAS,KP-3,1298219,155,Pancreatic Cancer,"Ductal Adenosquamous Carcinoma, exocrine",Male,HSSRB
ACH-000109,NCIH3255_LUNG,NCI-H3255,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,Academic Lab
ACH-000110,NCCSTCK140_STOMACH,NCC-StC-K140,,,Gastric Cancer,Carcinoma,Female,RIKEN
ACH-001820,COLO824_BREAST,,,,Breast Cancer,Unknown,,
ACH-000112,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIG-M5,909715,656,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Monocytic)",Male,DSMZ
ACH-000113,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,910947,749,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",Male,DSMZ
ACH-000114,SU8686_PANCREAS,SU.86.86,1240218,268,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000115,VCAP_PROSTATE,VCaP,1299075,2154,Prostate Cancer,Adenocarcinoma,Male,ATCC
ACH-000116,OAW28_OVARY,OAW28,946360,173,Ovarian Cancer,"Adenocarcinoma, high grade serous",Female,ECACC
ACH-001395,SUM44PE_BREAST,,,,Breast Cancer,Carcinoma,Female,
ACH-000118,HUPT3_PANCREAS,HUP-T3,907285,109,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,DSMZ
ACH-000119,HS863T_FIBROBLAST,Hs 863.T,,,Fibroblast,ewings_sarcoma,Female,ATCC
ACH-000120,CHP212_AUTONOMIC_GANGLIA,CHP-212,906820,13,Neuroblastoma,Unknown,,ATCC
ACH-000121,NCIH2405_LUNG,NCI-H2405,687821,82,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000080,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM,,,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic)",Male,ATCC
ACH-000123,COV434_OVARY,COV434,,,Ovarian Cancer,"Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT), granulosa",Female,ECACC
ACH-000124,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY-19,1330984,1972,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Female,DSMZ
ACH-000125,TO175T_FIBROBLAST,TO 175.T,,,Lymphoma,"B-Cell, Hodgkins",Male,ATCC
ACH-000126,KG1C_CENTRAL_NERVOUS_SYSTEM,KG-1-C,,,Brain Cancer,Oligodendroglioma,Male,HSRRB
ACH-000208,U178_CENTRAL_NERVOUS_SYSTEM,U-178,,,Brain Cancer,Glioblastoma,Male,
ACH-000215,LN382_CENTRAL_NERVOUS_SYSTEM,LN382;LN-382,,,Brain Cancer,Glioblastoma,Male,
ACH-000129,NCIH1341_LUNG,NCI-H1341,1330964,1825,Lung Cancer,Small Cell Lung Cancer (SCLC),Female,ATCC
ACH-001106,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330933,1206,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Female,DSMZ
ACH-000131,HS229T_FIBROBLAST,Hs 229.T,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000132,JHOS2_OVARY,JHOS-2,1479995,436,Ovarian Cancer,"Adenocarcinoma, serous",Female,RIKEN
ACH-000133,HS729_SOFT_TISSUE,Hs 729,,,Fibroblast,,Male,ATCC
ACH-000134,HS274T_FIBROBLAST,HS274T,,,Breast Cancer,Carcinoma,Female,ATCC
ACH-000135,HS940T_FIBROBLAST,Hs 940.T,1298145,707,Skin Cancer,Melanoma,Male,ATCC
ACH-000136,CHP126_AUTONOMIC_GANGLIA,CHP-126,910567,38,Neuroblastoma,Unknown,Female,DSMZ
ACH-000137,8MGBA_CENTRAL_NERVOUS_SYSTEM,8-MG-BA,687562,1207,Brain Cancer,Glioblastoma,Female,DSMZ
ACH-000138,CFPAC1_PANCREAS,CFPAC-1,906821,572,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000139,PANC0327_PANCREAS,Panc 03.27,925346,1873,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Female,ATCC
ACH-000140,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Pfeiffer,,,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Male,ATCC
ACH-000141,SNU308_BILIARY_TRACT,SNU-308,,,Gallbladder Cancer,Adenocarcinoma,,KCLB
ACH-000142,CAL29_URINARY_TRACT,CAL-29,1290730,2040,Bladder Cancer,Transitional Cell Carcinoma,Female,DSMZ
ACH-000226,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-M2,1331040,1878,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",Female,DSMZ
ACH-000144,RERFGC1B_STOMACH,RERF-GC-1B,1240209,285,Gastric Cancer,Stomach Adenocarcinoma,Male,HSRRB
ACH-000145,SKLMS1_SOFT_TISSUE,SK-LMS-1,909720,1641,Sarcoma,Leiomyosarcoma,Female,ATCC
ACH-000146,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP-1,909771,770,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Monocytic)",Male,ATCC
ACH-000148,HS578T_BREAST,Hs 578T,905957,655,Breast Cancer,Carcinoma,Female,ATCC
ACH-000149,SKNSH_AUTONOMIC_GANGLIA,SK-N-SH,717431,1165,Neuroblastoma,Unknown,Female,ATCC
ACH-000150,HCC2935_LUNG,HCC2935,,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ATCC
ACH-000960,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909696,1272,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",Female,ATCC
ACH-000152,M059K_CENTRAL_NERVOUS_SYSTEM,M059K,,,Brain Cancer,Glioblastoma,Male,ATCC
ACH-000153,NCIH2052_PLEURA,NCI-H2052,688058,1485,Lung Cancer,Mesothelioma,Male,ATCC
ACH-000154,HS888T_FIBROBLAST,HS888T,,,Bone Cancer,Osteosarcoma,Male,ATCC
ACH-000155,SW1990_PANCREAS,SW 1990,910907,1912,Pancreatic Cancer,Ductal Adenocarcinoma,Male,ATCC
ACH-000246,SLR23_KIDNEY,SLR 23,,,Kidney Cancer,Renal Cell Carcinoma,,
ACH-000157,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4/Fuk,910934,186,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),Female,JCRB
ACH-000158,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-LY3,,,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),,Academic Lab
ACH-000159,OSRC2_KIDNEY,OS-RC-2,909250,1674,Kidney Cancer,Renal Cell Carcinoma,Male,RIKEN
ACH-000160,BT12_SOFT_TISSUE,BT-12,,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),,
ACH-000161,CORL105_LUNG,COR-L105,906805,22,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Male,ECACC
ACH-000162,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA-10,1303896,1008,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",Male,ATCC
ACH-000163,SW579_THYROID,SW579,,,Thyroid Cancer,Squamous Cell Carcinoma,Male,ATCC
ACH-000164,PANC1_PANCREAS,PANC-1,,,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000165,HS751T_FIBROBLAST,,,,Lymphoma,Unknown,,ATCC
ACH-000166,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Kasumi-6,,,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",Male,ATCC
ACH-000167,KE97_STOMACH,KE-97,,,Gastric Cancer,"Adenocarcinoma, mucinous",Male,RIKEN
ACH-000168,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO-1,908451,297,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Monocytic)",Female,HSRRB
ACH-000262,UOK101_KIDNEY,UOK101,,,Kidney Cancer,Renal Cell Carcinoma,Female,
ACH-000170,PRECLH_PROSTATE,PrEC LH,,,Prostate Cancer,immortalized_epithelial,,
ACH-000171,VMRCRCZ_KIDNEY,VMRC-RCZ,909781,738,Kidney Cancer,Renal Cell Carcinoma,,HSRRB
ACH-000172,TM87_SOFT_TISSUE,TM-87;TM87,,,Rhabdoid,Malignant Rhabdoid Tumor,,
ACH-000173,JHUEM3_ENDOMETRIUM,JHUEM-3,,,Endometrial/Uterine Cancer,Unknown,,RIKEN
ACH-000174,CAL62_THYROID,CAL-62,906828,1753,Thyroid Cancer,"Carcinoma, anaplastic",Female,DSMZ
ACH-000175,TE159T_FIBROBLAST,,,,Sarcoma,Rhabdomyosarcoma,Male,ATCC
ACH-000176,LOUNH91_LUNG,LOU-NH91,1298226,1506,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",Female,DSMZ
ACH-000177,NCIH660_PROSTATE,NCI-H660,1330975,87,Prostate Cancer,Small Cell Carcinoma,Male,ATCC
ACH-000178,HS766T_PANCREAS,Hs 766T,1298141,1843,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",Male,ATCC
ACH-000179,NCIH1618_LUNG,NCI-H1618,,,Lung Cancer,Small Cell Lung Cancer (SCLC),Female,ATCC
ACH-000180,HS839T_FIBROBLAST,Hs 839.T,,,Skin Cancer,Melanoma,Female,ATCC
ACH-000181,SCC9_UPPER_AERODIGESTIVE_TRACT,SCC-9,909709,2054,Head and Neck Cancer,Squamous Cell Carcinoma,Male,ATCC
ACH-000182,SNU869_BILIARY_TRACT,SNU-869,,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic, ampullary",,
ACH-000183,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L-363,924239,2224,Leukemia,Plasma Cell,Female,DSMZ
ACH-000184,HS343T_FIBROBLAST,Hs  343.T,,,Breast Cancer,Carcinoma,Female,ATCC
ACH-000185,HS737T_FIBROBLAST,,,,Bone Cancer,Giant Cell Tumor,Female,ATCC
ACH-000186,NCIH2444_LUNG,NCI-H2444,1298356,1538,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",Male,ATCC
ACH-000187,CORL311_LUNG,COR-L311,687980,1167,Lung Cancer,Small Cell Lung Cancer (SCLC),Male,ECACC
ACH-000188,SCC25_UPPER_AERODIGESTIVE_TRACT,SCC-25,910701,1419,Head and Neck Cancer,Squamous Cell Carcinoma,Male,ATCC
ACH-000189,RCC10RGB_KIDNEY,RCC10RGB,909974,1640,Kidney Cancer,Renal Cell Carcinoma,Male,RIKEN
ACH-000190,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HD-MY-Z,907050,883,Lymphoma,"B-cell, Hodgkins",,DSMZ
ACH-000191,BHT101_THYROID,BHT-101,906696,672,Thyroid Cancer,"Carcinoma, papillary",Female,DSMZ
ACH-000192,MFE280_ENDOMETRIUM,MFE-280,908129,1540,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,Female,DSMZ
ACH-000193,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-620,1327775,184,Leukemia,Plasma Cell,Female,DSMZ
ACH-000194,HS934T_FIBROBLAST,Hs 934.T,,,Skin Cancer,Melanoma,Female,ATCC
ACH-000195,SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Set-2,,,Leukemia,Acute Myelogenous Leukemia (AML),Female,DSMZ
ACH-000642,HMEL_BREAST,,,,Immortalized,Breast Cancer,,
ACH-000490,SF767_CENTRAL_NERVOUS_SYSTEM,SF767,,,Brain Cancer,Astrocytoma,Female,
ACH-000198,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL-1,906856,426,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic)",Male,DSMZ
ACH-000199,HS255T_FIBROBLAST,HS255T,,,Colon/Colorectal Cancer,Unknown,Female,ATCC
ACH-000200,NMCG1_CENTRAL_NERVOUS_SYSTEM,NMC-G1,908449,650,Brain Cancer,Glioma,,HSSRB
ACH-000201,A204_SOFT_TISSUE,A-204,910784,349,Sarcoma,Rhabdomyosarcoma,Female,ATCC
ACH-000202,COLO320_LARGE_INTESTINE,COLO-320,,,Colon/Colorectal Cancer,Colon Adenocarcinoma,Female,DSMZ
ACH-000203,NH6_AUTONOMIC_GANGLIA,NH-6,,,Neuroblastoma,Unknown,Female,HSSRB
