GO.ID	Term	n
GO:0006826	iron ion transport	4
GO:0006888	ER to Golgi vesicle-mediated transport	16
GO:0006890	retrograde vesicle-mediated transport, G...	12
GO:0006891	intra-Golgi vesicle-mediated transport	9
GO:0006900	membrane budding	1
GO:0006997	nucleus organization	23
GO:0006998	nuclear envelope organization	18
GO:0006999	nuclear pore organization	6
GO:0007004	telomere maintenance via telomerase	13
GO:0007005	mitochondrion organization	2
GO:0007017	microtubule-based process	12
GO:0007076	mitotic chromosome condensation	3
GO:0007077	mitotic nuclear envelope disassembly	11
GO:0007080	mitotic metaphase plate congression	7
GO:0007088	regulation of mitotic nuclear division	23
GO:0007091	metaphase/anaphase transition of mitotic...	22
GO:0007093	mitotic cell cycle checkpoint	19
GO:0007094	mitotic spindle assembly checkpoint	3
GO:0007098	centrosome cycle	5
GO:0007126	meiotic nuclear division	2
GO:0008033	tRNA processing	16
GO:0008299	isoprenoid biosynthetic process	2
GO:0008334	histone mRNA metabolic process	21
GO:0008543	fibroblast growth factor receptor signal...	10
GO:0008608	attachment of spindle microtubules to ki...	8
GO:0009123	nucleoside monophosphate metabolic proce...	1
GO:0009262	deoxyribonucleotide metabolic process	1
GO:0009263	deoxyribonucleotide biosynthetic process	12
GO:0009266	response to temperature stimulus	3
GO:0009408	response to heat	19
GO:0009451	RNA modification	4
GO:0009893	positive regulation of metabolic process	1
GO:0010389	regulation of G2/M transition of mitotic...	1
GO:0010458	exit from mitosis	1
GO:0010468	regulation of gene expression	7
GO:0010501	RNA secondary structure unwinding	19
GO:0010604	positive regulation of macromolecule met...	2
GO:0010833	telomere maintenance via telomere length...	13
GO:0010948	negative regulation of cell cycle proces...	21
GO:0010965	regulation of mitotic sister chromatid s...	22
GO:0015682	ferric iron transport	15
GO:0015988	energy coupled proton transmembrane tran...	12
GO:0015991	ATP hydrolysis coupled proton transport	12
GO:0016055	Wnt signaling pathway	1
GO:0016074	snoRNA metabolic process	16
GO:0016075	rRNA catabolic process	6
GO:0016180	snRNA processing	22
GO:0016226	iron-sulfur cluster assembly	3
GO:0016458	gene silencing	7
GO:0017038	protein import	14
GO:0017148	negative regulation of translation	1
GO:0018205	peptidyl-lysine modification	18
GO:0019081	viral translation	19
GO:0022411	cellular component disassembly	3
GO:0022616	DNA strand elongation	21
GO:0022900	electron transport chain	1
GO:0022904	respiratory electron transport chain	2
GO:0030071	regulation of mitotic metaphase/anaphase...	20
GO:0030111	regulation of Wnt signaling pathway	11
GO:0030150	protein import into mitochondrial matrix	1
GO:0030163	protein catabolic process	23
GO:0030261	chromosome condensation	4
GO:0030397	membrane disassembly	16
GO:0031023	microtubule organizing center organizati...	23
GO:0031100	animal organ regeneration	1
GO:0031125	rRNA 3'-end processing	6
GO:0031163	metallo-sulfur cluster assembly	3
GO:0031325	positive regulation of cellular metaboli...	1
GO:0031349	positive regulation of defense response	7
GO:0031570	DNA integrity checkpoint	18
GO:0031572	G2 DNA damage checkpoint	1
GO:0031577	spindle checkpoint	2
GO:0032204	regulation of telomere maintenance	9
GO:0032206	positive regulation of telomere maintena...	1
GO:0032210	regulation of telomere maintenance via t...	15
GO:0032211	negative regulation of telomere maintena...	1
GO:0032212	positive regulation of telomere maintena...	4
GO:0032268	regulation of cellular protein metabolic...	5
GO:0032269	negative regulation of cellular protein ...	23
GO:0032392	DNA geometric change	23
GO:0032479	regulation of type I interferon producti...	22
GO:0032481	positive regulation of type I interferon...	23
GO:0032543	mitochondrial translation	3
GO:0032606	type I interferon production	22
GO:0032786	positive regulation of DNA-templated tra...	1
GO:0032886	regulation of microtubule-based process	2
GO:0032968	positive regulation of transcription elo...	1
GO:0032984	macromolecular complex disassembly	2
GO:0033043	regulation of organelle organization	2
GO:0033045	regulation of sister chromatid segregati...	23
GO:0033046	negative regulation of sister chromatid ...	3
GO:0033047	regulation of mitotic sister chromatid s...	16
GO:0033119	negative regulation of RNA splicing	1
GO:0033120	positive regulation of RNA splicing	17
GO:0033260	nuclear DNA replication	20
GO:0033572	transferrin transport	16
GO:0033683	nucleotide-excision repair, DNA incision	21
GO:0033750	ribosome localization	21
GO:0033753	establishment of ribosome localization	21
GO:0034080	CENP-A containing nucleosome assembly	1
GO:0034248	regulation of cellular amide metabolic p...	22
GO:0034249	negative regulation of cellular amide me...	1
GO:0034501	protein localization to kinetochore	1
GO:0034502	protein localization to chromosome	22
GO:0034504	protein localization to nucleus	23
GO:0034605	cellular response to heat	13
GO:0034661	ncRNA catabolic process	3
GO:0039694	viral RNA genome replication	2
GO:0039703	RNA replication	2
GO:0042773	ATP synthesis coupled electron transport	2
GO:0042775	mitochondrial ATP synthesis coupled elec...	2
GO:0043086	negative regulation of catalytic activit...	18
GO:0043241	protein complex disassembly	2
GO:0043248	proteasome assembly	6
GO:0043624	cellular protein complex disassembly	3
GO:0043628	ncRNA 3'-end processing	17
GO:0043631	RNA polyadenylation	23
GO:0043902	positive regulation of multi-organism pr...	20
GO:0043928	exonucleolytic nuclear-transcribed mRNA ...	12
GO:0043967	histone H4 acetylation	6
GO:0043968	histone H2A acetylation	10
GO:0044092	negative regulation of molecular functio...	2
GO:0044257	cellular protein catabolic process	21
GO:0044344	cellular response to fibroblast growth f...	11
GO:0044744	protein targeting to nucleus	10
GO:0044774	mitotic DNA integrity checkpoint	2
GO:0044784	metaphase/anaphase transition of cell cy...	22
GO:0044786	cell cycle DNA replication	22
GO:0044818	mitotic G2/M transition checkpoint	3
GO:0044839	cell cycle G2/M phase transition	23
GO:0045005	DNA-dependent DNA replication maintenanc...	4
GO:0045088	regulation of innate immune response	17
GO:0045292	mRNA cis splicing, via spliceosome	21
GO:0045786	negative regulation of cell cycle	17
GO:0045787	positive regulation of cell cycle	1
GO:0045815	positive regulation of gene expression, ...	9
GO:0045839	negative regulation of mitotic nuclear d...	3
GO:0045841	negative regulation of mitotic metaphase...	2
GO:0045930	negative regulation of mitotic cell cycl...	19
GO:0045931	positive regulation of mitotic cell cycl...	1
GO:0046605	regulation of centrosome cycle	3
GO:0046782	regulation of viral transcription	21
GO:0046794	transport of virus	23
GO:0046931	pore complex assembly	1
GO:0048025	negative regulation of mRNA splicing, vi...	1
GO:0048193	Golgi vesicle transport	5
GO:0048524	positive regulation of viral process	21
GO:0050000	chromosome localization	1
GO:0050685	positive regulation of mRNA processing	5
GO:0050686	negative regulation of mRNA processing	2
GO:0050792	regulation of viral process	1
GO:0051031	tRNA transport	14
GO:0051052	regulation of DNA metabolic process	21
GO:0051054	positive regulation of DNA metabolic pro...	4
GO:0051081	nuclear envelope disassembly	16
GO:0051123	RNA polymerase II transcriptional preini...	1
GO:0051171	regulation of nitrogen compound metaboli...	14
GO:0051234	establishment of localization	11
GO:0051246	regulation of protein metabolic process	1
GO:0051248	negative regulation of protein metabolic...	19
GO:0051297	centrosome organization	20
GO:0051303	establishment of chromosome localization	1
GO:0051304	chromosome separation	23
GO:0051306	mitotic sister chromatid separation	23
GO:0051310	metaphase plate congression	3
GO:0051321	meiotic cell cycle	3
GO:0051338	regulation of transferase activity	20
GO:0051603	proteolysis involved in cellular protein...	23
GO:0051656	establishment of organelle localization	1
GO:0051783	regulation of nuclear division	23
GO:0051784	negative regulation of nuclear division	1
GO:0051983	regulation of chromosome segregation	23
GO:0051985	negative regulation of chromosome segreg...	3
GO:0060070	canonical Wnt signaling pathway	11
GO:0060249	anatomical structure homeostasis	10
GO:0060255	regulation of macromolecule metabolic pr...	2
GO:0060828	regulation of canonical Wnt signaling pa...	19
GO:0061621	canonical glycolysis	1
GO:0061641	CENP-A containing chromatin organization	1
GO:0061718	glucose catabolic process to pyruvate	1
GO:0065004	protein-DNA complex assembly	18
GO:0070125	mitochondrial translational elongation	3
GO:0070126	mitochondrial translational termination	3
GO:0070198	protein localization to chromosome, telo...	4
GO:0070199	establishment of protein localization to...	3
GO:0070200	establishment of protein localization to...	4
GO:0070202	regulation of establishment of protein l...	8
GO:0070203	regulation of establishment of protein l...	8
GO:0070507	regulation of microtubule cytoskeleton o...	2
GO:0070897	DNA-templated transcriptional preinitiat...	5
GO:0070979	protein K11-linked ubiquitination	3
GO:0071025	RNA surveillance	7
GO:0071027	nuclear RNA surveillance	5
GO:0071028	nuclear mRNA surveillance	5
GO:0071103	DNA conformation change	23
GO:0071173	spindle assembly checkpoint	3
GO:0071174	mitotic spindle checkpoint	2
GO:0071345	cellular response to cytokine stimulus	1
GO:0071428	rRNA-containing ribonucleoprotein comple...	21
GO:0071431	tRNA-containing ribonucleoprotein comple...	17
GO:0071459	protein localization to chromosome, cent...	5
GO:0071478	cellular response to radiation	1
GO:0071774	response to fibroblast growth factor	10
GO:0071806	protein transmembrane transport	2
GO:0071822	protein complex subunit organization	2
GO:0071824	protein-DNA complex subunit organization	18
GO:0072331	signal transduction by p53 class mediato...	8
GO:0072512	trivalent inorganic cation transport	15
GO:0090068	positive regulation of cell cycle proces...	2
GO:0090307	mitotic spindle assembly	21
GO:0090329	regulation of DNA-dependent DNA replicat...	11
GO:0090383	phagosome acidification	5
GO:0090501	RNA phosphodiester bond hydrolysis	23
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	22
GO:0090662	ATP hydrolysis coupled transmembrane tra...	10
GO:0097421	liver regeneration	9
GO:0198738	cell-cell signaling by wnt	1
GO:1900034	regulation of cellular response to heat	5
GO:1900087	positive regulation of G1/S transition o...	1
GO:1900182	positive regulation of protein localizat...	2
GO:1901796	regulation of signal transduction by p53...	15
GO:1901988	negative regulation of cell cycle phase ...	12
GO:1901989	positive regulation of cell cycle phase ...	3
GO:1901991	negative regulation of mitotic cell cycl...	8
GO:1901992	positive regulation of mitotic cell cycl...	4
GO:1901998	toxin transport	21
GO:1902099	regulation of metaphase/anaphase transit...	20
GO:1902100	negative regulation of metaphase/anaphas...	2
GO:1902581	multi-organism cellular localization	23
GO:1902583	multi-organism intracellular transport	23
GO:1902589	single-organism organelle organization	3
GO:1902593	single-organism nuclear import	10
GO:1902749	regulation of cell cycle G2/M phase tran...	1
GO:1902808	positive regulation of cell cycle G1/S p...	1
GO:1902850	microtubule cytoskeleton organization in...	21
GO:1903046	meiotic cell cycle process	8
GO:1903312	negative regulation of mRNA metabolic pr...	2
GO:1903313	positive regulation of mRNA metabolic pr...	4
GO:1903829	positive regulation of cellular protein ...	3
GO:1903900	regulation of viral life cycle	16
GO:1904356	regulation of telomere maintenance via t...	12
GO:1904358	positive regulation of telomere maintena...	4
GO:1904814	regulation of protein localization to ch...	6
GO:1904816	positive regulation of protein localizat...	8
GO:2000278	regulation of DNA biosynthetic process	13
GO:2000573	positive regulation of DNA biosynthetic ...	14
GO:2000816	negative regulation of mitotic sister ch...	2
GO:2001251	negative regulation of chromosome organi...	6
GO:2001252	positive regulation of chromosome organi...	6
